Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
FTFT,1.19,2023/03/24,15:59 EDT,0.0,1.18,1.19,1.16,36774,,,,,,,
LLY,336.13,2023/03/24,16:03 EDT,3.4899902,332.99,336.93,328.77,2792171,,,,,,,
EDU,37.51,2023/03/24,16:00 EDT,-1.2900009,38.7,38.9,37.3,1168996,,,,,,,
WM,154.46,2023/03/24,16:00 EDT,3.7600098,151.15,154.83,150.6,2018645,,,,,,,
MSFT,280.57,2023/03/24,16:00 EDT,2.9100037,277.24,280.63,275.3,28199962,,,,,,,
CSCO,50.51,2023/03/24,16:00 EDT,0.7799988,49.9,50.55,49.5,19439419,,,,,,,
JBLU,6.7,2023/03/24,16:00 EDT,0.069999695,6.55,6.7275,6.455,9158118,,,,,,,
META,206.01,2023/03/24,16:00 EDT,1.7299957,205.18,207.574,203.55,27733042,,,,,,,
HOOD,8.68,2023/03/24,16:00 EDT,0.11000061,8.5,8.735,8.375,5012974,,,,,,,
TRI,127.12,2023/03/24,16:00 EDT,0.6800003,126.18,127.22,125.3,298723,,,,,,,
IIPR,75.77,2023/03/24,16:00 EDT,1.6399994,73.41,76.08,73.2621,279321,,,,,,,
ASO,64.95,2023/03/24,16:00 EDT,0.9799957,63.45,65.08,62.57,1113536,,,,,,,
LCID,8.19,2023/03/24,16:00 EDT,0.0,8.02,8.305,7.99,8245412,,,,,,,
SPPI,0.67,2023/03/24,16:00 EDT,-0.042599976,0.688,0.6949,0.6519,1784037,,,,,,,
COIN,67.83,2023/03/24,16:00 EDT,1.5299988,64.18,68.73,63.53,21641914,,,,,,,
CHPT,9.83,2023/03/24,16:00 EDT,-0.2300005,9.95,10.0861,9.68,5189509,,,,,,,
NVDA,267.79,2023/03/24,16:00 EDT,-4.119995,270.31,271.67,263.55,45541407,,,,,,,
GME,23.98,2023/03/24,16:00 EDT,1.3999996,22.32,23.99,22.1,8768674,,,,,,,
ORIC,5.26,2023/03/24,16:00 EDT,0.06000042,5.21,5.3422,4.985,184800,,,,,,,
APLE,14.06,2023/03/24,16:00 EDT,0.21000004,13.69,14.13,13.66,2626366,,,,,,,
VT,88.9,2023/03/24,16:00 EDT,0.22000122,88.23,88.94,87.725,2086598,,,,,,,
TSLA,190.41,2023/03/24,16:00 EDT,-1.8099976,191.65,192.36,187.15,116531584,,,,,,,
KO,60.9,2023/03/24,16:00 EDT,0.98000336,60.25,61.015,59.91,12977607,,,,,,,
RITM,7.71,2023/03/24,16:00 EDT,0.13000011,7.56,7.7282,7.4,5800807,,,,,,,
SPHD,40.4,2023/03/24,16:00 EDT,0.73000336,39.53,40.4,39.47,1212092,,,,,,,
AGNC,9.79,2023/03/24,16:00 EDT,0.15999985,9.55,9.81,9.4,12044431,,,,,,,
AAPL,160.25,2023/03/24,16:00 EDT,1.3200073,158.86,160.34,157.85,59256343,,,,,,,
BP,35.88,2023/03/24,16:00 EDT,-0.5999985,35.63,36.02,35.17,11143008,,,,,,,
